"","symbol","date","open","high","low","close","volume","adjusted"
"187","XLK",2020-09-28,115.830002,116.129997,114.870003,116.120003,8736600,116.120003
"188","XLK",2020-09-29,115.970001,116.459999,115.480003,115.730003,10425500,115.730003
"189","XLK",2020-09-30,115.669998,117.889999,115.620003,116.699997,11159200,116.699997
"190","XLK",2020-10-01,118.32,118.480003,117.18,117.93,13538200,117.93
"191","XLK",2020-10-02,115.029999,116.940002,114.480003,114.940002,18625800,114.940002
"192","XLK",2020-10-05,115.760002,117.529999,115.690002,117.459999,6135300,117.459999
"193","XLK",2020-10-06,117.18,118.290001,115.230003,115.639999,13431100,115.639999
"194","XLK",2020-10-07,116.849998,117.989998,116.760002,117.760002,6496200,117.760002
"195","XLK",2020-10-08,118.790001,118.790001,117.970001,118.370003,5054800,118.370003
"196","XLK",2020-10-09,118.93,120.209999,118.900002,120.18,7212700,120.18
"197","XLK",2020-10-12,121.949997,124.269997,121.339996,123.459999,9581900,123.459999
"198","XLK",2020-10-13,123.860001,124.080002,122.199997,122.669998,8806900,122.669998
"199","XLK",2020-10-14,122.970001,123.620003,121.110001,122.019997,7277900,122.019997
"200","XLK",2020-10-15,120,121.709999,119.68,121.470001,6592500,121.470001
"201","XLK",2020-10-16,122.139999,122.629997,121.010002,121.120003,5772100,121.120003
"202","XLK",2020-10-19,121.730003,122.190002,118.529999,118.900002,8308200,118.900002
"203","XLK",2020-10-20,119.349998,120.57,118.580002,119.309998,7283300,119.309998
"204","XLK",2020-10-21,119.019997,120.269997,118.860001,119.129997,6085900,119.129997
"205","XLK",2020-10-22,119.18,119.57,117.209999,118.57,6743200,118.57
"206","XLK",2020-10-23,118.739998,118.760002,117.449997,118.440002,5156400,118.440002
"207","XLK",2020-10-26,117.129997,118.07,114.43,115.870003,9094600,115.870003
"208","XLK",2020-10-27,116.43,116.940002,115.790001,116.449997,9532400,116.449997
"209","XLK",2020-10-28,114.239998,114.309998,111.32,111.510002,16378300,111.510002
"210","XLK",2020-10-29,111.940002,114.68,111.870003,113.370003,9704500,113.370003
"211","XLK",2020-10-30,111.779999,112.480003,109.57,110.860001,12924300,110.860001
"212","XLK",2020-11-02,111.709999,112.620003,110.080002,111.139999,12019900,111.139999
"213","XLK",2020-11-03,112.010002,114.099998,111.550003,113.099998,10485100,113.099998
"214","XLK",2020-11-04,116.540001,118.379997,115.370003,117.5,15381900,117.5
"215","XLK",2020-11-05,120.589996,121.5,120.089996,121.150002,11094900,121.150002
"216","XLK",2020-11-06,120.860001,121.970001,119.209999,121.580002,9727600,121.580002
"217","XLK",2020-11-09,124.160004,125.360001,120.589996,120.699997,19884100,120.699997
"218","XLK",2020-11-10,119.650002,120.489998,117.489998,118.449997,11769200,118.449997
"219","XLK",2020-11-11,119.650002,121.589996,119.410004,121.260002,7244300,121.260002
"220","XLK",2020-11-12,121.260002,121.860001,119.620003,120.18,7176400,120.18
"221","XLK",2020-11-13,121.089996,121.449997,119.949997,121.199997,5925800,121.199997
"222","XLK",2020-11-16,121.209999,122.589996,120.959999,122.370003,7432100,122.370003
"223","XLK",2020-11-17,121.760002,122.349998,121.169998,121.690002,4969700,121.690002
"224","XLK",2020-11-18,121.480003,122.059998,120.339996,120.389999,4771400,120.389999
"225","XLK",2020-11-19,120.150002,121.580002,119.620003,121.360001,6077600,121.360001
"226","XLK",2020-11-20,121.470001,121.5,120.07,120.110001,4957900,120.110001
"227","XLK",2020-11-23,120.480003,121.269997,119.040001,120.080002,4903500,120.080002
"228","XLK",2020-11-24,120.540001,121.989998,119.669998,121.75,6817000,121.75
"229","XLK",2020-11-25,122.169998,122.519997,121.550003,122.010002,6093200,122.010002
"230","XLK",2020-11-27,122.660004,123.18,122.43,122.660004,3512900,122.660004
"231","XLK",2020-11-30,122.620003,123.660004,121.230003,123.480003,16114600,123.480003
